Num Service,Users,Throughput,Avg_Latency,percentile_10,percentile_50,percentile_90,percentile_99,percentile_99.9,percentile_99.99,Std,Tail Index,popt
1,1,2091.150925,0.4570523566,0,0,1,1,1,2,0.5246480501,0.01021962,[0.01021962 1.71572331]
1,2,2286.185269,0.8194349464,0,1,1,1,3,5,0.5090113122,0.01611807,[0.01611807 1.81456114]
1,50,27524.35504,1.782602,1,2,3,6,11,16,1.128487975,0.00398704,[0.00398704 1.52493806]
1,100,29787.02917,3.313623,2,3,5,11,21,37,1.940223341,0.00233981,[0.00233981 1.28681736]
1,300,28809.79424,10.1483965,6,9,16,32,65,96,5.771433702,0.00649009,[0.00649009 0.75861079]
1,500,28840.14367,16.521171,8,15,26,55,103,149,9.990801159,0.00612524,[0.00612524 0.46213456]
1,700,25459.66767,26.2825865,11,23,42,93,140,183,16.09807788,0.00164853,[0.00164853 0.16502235]
1,1000,24577.90089,31.7606235,6,23,57,207,629,1242.0001,46.9577176,0.11411892,[ 0.11411892 -1.99549228]
2,1,311.9629841,3.130879171,3,3,4,4,7,8,0.9408493326,1.31E-03,[1.31287588e-03 1.61416654e+00]
2,2,647.9699581,3.022505003,3,3,3,4,7,8,0.7180931851,1.18E-03,[1.18186176e-03 1.73451752e+00]
2,50,14413.89104,3.435884,2,3,5,10,16,23,2.445844872,3.53E-04,[3.53223704e-04 1.18416999e+00]
2,100,16187.33274,6.1113275,3,5,9,20,180,218,7.547344678,0.00138521,[0.00138521 0.62856065]
2,300,15455.70105,19.374651,9,15,25,221,259,444,29.65069735,0.00562321,[ 0.00562321 -0.46619476]
2,500,15498.35158,32.584841,14,24,40,240,449,872,44.90151327,0.05199095,[ 0.05199095 -1.58724051]
2,700,14239.68452,49.0311225,29,47,69,110,175,459,20.17560663,0.00523275,[ 0.00523275 -0.02371832]
2,1000,12915.93956,68.2793515,18,59,110,327,955,1399.0001,69.78598918,-2.55321345,[-2.55321345  4.35575772]
3,1,216.0229614,4.603853217,4,5,5,6,8,10,1.187418535,5.03E-04,[5.02973204e-04 1.51204533e+00]
3,2,462.8553618,4.296981177,4,4,5,6,8,10,1.098465422,1.99E-04,[1.98978494e-04 1.54754597e+00]
3,50,13012.94264,3.826555,2,4,6,9,13,19,1.487616494,0.00641934,[0.00641934 1.40327531]
3,100,14367.28581,6.9371125,4,6,11,18,26,38,3.153851877,0.00442969,[0.00442969 1.0588767 ]
3,300,15134.59465,19.80146,11,18,30,47,68,154,8.588122255,0.00329555,[0.00329555 0.55450783]
3,500,14217.92486,35.147724,20,33,52,82,123,168,14.1867359,0.00632139,[0.00632139 0.24343175]
3,700,13726.58795,50.813376,29,47,76,127,200,309,21.90073358,0.00943408,[ 0.00943408 -0.10917672]
3,1000,10948.75804,82.973679,23,63,142,500,1280.001,1948.0001,100.4037645,-5.2855644,[-5.2855644  13.07737133]